Back to [[..:handset_report|Test Suite]] report's page.

^  SonyEricsson W595  ^^^^
^TestSuite|//Version//||<nowiki>1.0.0</nowiki>|
^System|//Platform//|Name|<nowiki>SonyEricssonW595/R3EH001</nowiki>|
^ ::: | ::: |Platform Type|true|
^ ::: |//IMEI//|IMEI|true|
^ ::: |//Memory//|Total memory|1048576|
^ ::: | ::: |Free memory|648032|
^Environment|//CLDC//|Configuration|<nowiki>CLDC-1.1</nowiki>|
^ ::: | ::: |Char encoding|<nowiki>ISO-8859-1</nowiki>|
^ ::: |//MIDP//|JSR-118 (MIDP2.x) supported|true|
^ ::: | ::: |Profiles|<nowiki>MIDP-2.1</nowiki>|
^ ::: | ::: |Locale|<nowiki>de</nowiki>|
^ ::: | ::: |Serial ports|<nowiki>USB1</nowiki>|
^ ::: |//Mobile i18n//|i18n version|<nowiki>1.0</nowiki>|
^Graphics|//Screen//|Screen (full) height|320|
^ ::: | ::: |Screen (full) width|240|
^ ::: | ::: |Screen (normal) height|266|
^ ::: | ::: |Screen (normal) width|240|
^ ::: | ::: |Is Color|true|
^ ::: | ::: |Color Depth|65536|
^ ::: | ::: |Alpha Levels|256|
^ ::: | ::: |Screen buffered|true|
^ ::: |//Canvas//|Font Default Height|22|
^ ::: | ::: |Font Small Height|18|
^ ::: | ::: |Font Small Bold Height|18|
^ ::: | ::: |Font Medium Height|22|
^ ::: | ::: |Font Medium Bold Height|22|
^ ::: | ::: |Font Large Height|26|
^ ::: | ::: |Font Large Bold Height|26|
^ ::: |//Mobile Media//|JSR-135 MMAPI supported|true|
^ ::: | ::: |JSR-135 Video supported|true|
^ ::: | ::: |Mobile Media version|<nowiki>1.2</nowiki>|
^ ::: | ::: |Supports mixing|true|
^ ::: | ::: |Audio capture|true|
^ ::: | ::: |Video capture|true|
^ ::: | ::: |Supports recording|true|
^ ::: | ::: |Audio encoding|<nowiki>encoding=amr encoding=amr-nb encoding=pcm</nowiki>|
^ ::: | ::: |Video encodings|<nowiki>encoding=mpeg4&width=320&height=240</nowiki>|
^ ::: | ::: |Video snapshot encodings|<nowiki>encoding=jpeg&width=640&height=480 encoding=jpeg&width=1280&height=960 encoding=jpeg&width=1632&height=1224 encoding=jpeg&width=2048&height=1536</nowiki>|
^ ::: | ::: |Streamable contents|<nowiki>audio/x-pn-realaudio video/x-pn-realvideo audio/mp4a-latm video/mp4v-es video/h263-2000</nowiki>|
^ ::: |//Multimedia//|Capture|<nowiki>image/jpeg audio/amr video/3gpp video/mpeg4 video/mp4 radio</nowiki>|
^ ::: | ::: |Device|<nowiki>audio/midi audio/mid audio/sp-midi audio/x-midi audio/x-tone-seq audio/tone</nowiki>|
^ ::: | ::: |File|<nowiki>audio/midi audio/mid audio/sp-midi audio/x-midi audio/x-tone-seq audio/tone audio/imelody audio/amr audio/amr-wb audio/mpeg audio/mp3 audio/x-mp3 audio/mpg audio/mpg3 audio/x-mpg audio/x-mpeg audio/x-wav audio/wav video/mp4v-es video/mpeg video/h264 video/3gpp video/mpeg4 video/mp4 audio/nokia_ringing_tones audio/pmr audio/mp4a-latm audio/3gp audio/mpeg4 audio/3gpp audio/m4a audio/mp4 audio/x-m4a audio/xmf image/gif audio/x-pn-realaudio video/x-pn-realvideo audio/x-ms-wma video/x-ms-wmv audio/aac</nowiki>|
^ ::: | ::: |HTTP|<nowiki>audio/midi audio/mid audio/sp-midi audio/x-midi audio/x-tone-seq audio/tone audio/imelody audio/amr audio/amr-wb audio/mpeg audio/mp3 audio/x-mp3 audio/mpg audio/mpg3 audio/x-mpg audio/x-mpeg audio/x-wav audio/wav video/mp4v-es video/mpeg video/h264 video/3gpp video/mpeg4 video/mp4 audio/nokia_ringing_tones audio/pmr audio/mp4a-latm audio/3gp audio/mpeg4 audio/3gpp audio/m4a audio/mp4 audio/x-m4a audio/xmf image/gif video/x-pn-realvideo audio/x-pn-realaudio video/x-ms-wmv audio/x-ms-wma audio/aac</nowiki>|
^ ::: | ::: |RTSP|<nowiki>video/mp4v-es video/mpeg video/h264 video/3gpp video/mpeg4 video/mp4 audio/mp4a-latm audio/3gp audio/mpeg4 audio/3gpp audio/m4a audio/mp4 audio/x-m4a video/x-pn-realvideo audio/x-pn-realaudio video/x-ms-wmv audio/x-ms-wma audio/aac rtsp</nowiki>|
^ ::: |//3D Graphics//|JSR-184 supported|true|
^ ::: | ::: |M3G version|<nowiki>1.1</nowiki>|
^ ::: | ::: |3D - hybrid M3G Version|<nowiki>2.3.1</nowiki>|
